Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI
01-01-2020,0.7019709297732839,0.5704615465975647,0.2567955089251345,0.1916003293988471,0.2874475112026874,0.21814240672622173,0.1107754279959718,0.4349224950495434,0.02249220160893121,0.12874849249541415,0.40418041804180416,0.005831974338809026,0.003557175894878341,0.0,0.709213345576982,0.018275784911560518,0.2788283929985047,0.05252934927804021,0.7433074678592817,0.5940224159402241
02-01-2020,0.7358203649577376,0.6349670134986846,0.32158014233553567,0.20244304144935493,0.3450108490023167,0.23022858644245928,0.15940998755997868,0.5436531188119292,0.0221091227494117,0.16107074208074482,0.5183718371837183,0.005831974338809026,0.003557175894878341,0.028659358797134854,0.6781961024385267,0.014425061073947188,0.5158765062890316,0.047775037312478084,0.7427723201202805,0.6102117061021171
03-01-2020,0.4032506517102457,0.3820749104274363,0.19520324669092398,0.14733735931924238,0.2215066772753371,0.17735155018392013,0.08281499911142703,0.31276833748933214,0.007661577190390194,0.10496623527543841,0.5318481848184818,0.005831974338809026,0.003557175894878341,0.04338343304153444,0.6660544842363024,0.01904592967908318,0.4533087049579265,0.04863313264284783,0.7372679433762723,0.4495641344956413
04-01-2020,0.3981554625167865,0.3864114124039822,0.12789986171031734,0.18261048586329948,0.1815502804899013,0.15968208092485547,0.11201943012854688,0.2671283225767257,0.007442674984950473,0.0872376435296383,0.3114411441144114,0.005831974338809026,0.003557175894878341,0.03733604540544175,0.6775839200081624,0.024693657974249397,0.7967279444102384,0.04582692899488189,0.7347451040352686,0.4470734744707347
05-01-2020,0.3306145825104669,0.3298385710697146,0.05295235859222665,0.16572879494921766,0.11506987901534178,0.12427745664739884,0.0836443338664771,0.16510946571325258,0.008974990423028512,0.05123995419212956,0.22018701870187019,0.005831974338809026,0.003557175894878341,0.03234037735823475,0.6359555147433935,0.03188167580446095,0.7779634679098132,0.05435376817864617,0.7359428156416037,0.41344956413449563
06-01-2020,0.276206651394265,0.2747068233800917,0.028702052776760016,0.15059703541037606,0.08917063674930237,0.10457172884918549,0.11101238078312896,0.14094710487716683,0.006512340611831664,0.04259186065759292,0.17667766776677665,0.005831974338809026,0.003557175894878341,0.03523260622767038,0.6240179573512906,0.02289665351669651,0.44489401002726714,0.03216697900602286,0.7381853395002738,0.38729763387297633
07-01-2020,0.22770361007978515,0.19753559765723125,0.010924352740542332,0.08770244304144935,0.04685718173132131,0.11173147661586967,0.0991055032284817,0.11275768390173346,0.010178952552946971,0.03578148699914532,0.09504950495049505,0.005831974338809026,0.003557175894878341,0.036021395919334676,0.7241097847158453,0.02751752212183251,0.2584220248042924,0.030543555408026037,0.7327064459819321,0.3524283935242839
08-01-2020,0.26889959712457545,0.21133836614355409,0.042848064502448886,0.09432473236343673,0.07573824465299027,0.12270099842354178,0.08968662993898464,0.14497416501651447,0.005144201827833415,0.04215945598086609,0.1171067106710671,0.005831974338809026,0.003557175894878341,0.023926620647149288,0.8024691358024691,0.025207087819264506,0.4790805406514792,0.011464462837282361,0.7275333511715911,0.3835616438356164
09-01-2020,0.1986728809542618,0.1774660549730952,0.027735555081216057,0.09103074389239638,0.062050267929052765,0.09662375197057278,0.061193057283336294,0.10470356362303822,0.007114321676790894,0.031025035555150175,0.09202420242024202,0.005831974338809026,0.003557175894878341,0.00026292989722140336,0.7415569839812263,0.045230851774853816,0.8486527692262585,0.053201910482924615,0.7395614336862759,0.29140722291407223
10-01-2020,0.2833952128920136,0.27805174716078107,0.05304022201909429,0.14898435355476256,0.10819749236141465,0.10444035733053074,0.0772466086132338,0.1691365258526002,0.01039785475838669,0.047996919116678326,0.13030803080308032,0.005831974338809026,0.003557175894878341,0.0031551587666570347,0.7083971023364962,0.04446070700733115,0.8164013252411528,0.05835048246514313,0.7401475478766102,0.3910336239103362
11-01-2020,0.32324828185480686,0.3253301955392202,0.06692264346418025,0.16867965962119133,0.1275367291850691,0.12046768260641094,0.08725786387062377,0.19061417992912086,0.01182071909374487,0.05848273252730399,0.16336633663366334,0.005831974338809026,0.003557175894878341,0.017879233011056594,0.6142230384654628,0.035732399642074274,0.7864368018295366,0.05886070131022785,0.7395104672349424,0.410958904109589
12-01-2020,0.40376412038865633,0.39898462392744294,0.0998714285395425,0.1890269009058468,0.16297779754912303,0.1367577509196006,0.09667673716012083,0.2617589090575955,0.009905324796147322,0.08140018039382607,0.2811331133113311,0.005831974338809026,0.003557175894878341,0.03234037735823475,0.6159575553514948,0.02341008336171162,0.6732928724308793,0.05627095414199481,0.7320438821145978,0.4495641344956413
13-01-2020,0.43852200015799037,0.4037177571823314,0.05514894426391746,0.14249931375240185,0.10606762046453642,0.14825275880189173,0.08873881879035601,0.25236243539911773,0.01455699666174137,0.07296828919765284,0.2103960396039604,0.005831974338809026,0.003557175894878341,0.03891362478877028,0.6821752882358942,0.03675925933210449,0.4151054035828422,0.043979318328590256,0.7209077124982479,0.4657534246575342
