Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI
20-04-2020,0.0428351370566395,0.1065880455332707,0.006209015498646,0.0494441394455119,0.0266375978569572,0.2165002627430372,0.080978615010959,0.0604059020902143,0.3644721720571335,0.0168637823923464,0.0561606160616061,,,0.5984284460759541,0.4627078869503112,0.0259772325867871,0.4734218782068198,0.0955036910935848,0.7126256641565689,0.0946450809464508
26-05-2020,0.0659807251757642,0.2402527863347303,0.0109536405494982,0.0779920395278616,0.0431654037767323,0.2120993168681029,0.0917599668266097,0.0939647365847778,0.4196355278279429,0.0195663116218891,0.1051155115511551,,,0.7206908482839149,0.3029282726252423,0.0480547159224369,0.6705075204503474,0.1831067206769184,0.6919842513665375,0.186799501867995
04-06-2020,0.0860849988150722,0.1655274534949826,0.0135016799286595,0.0747323634367279,0.0437617679078582,0.1915396741986337,0.0850068123926307,0.1047035636230382,0.4218792754336999,0.0254037747577013,0.119086908690869,,,0.4751143242791076,0.5787164575043363,0.0290578116568778,0.441522268156097,0.0897907861463483,0.6988647222965483,0.1394769613947696
05-06-2020,0.0713128999131053,0.1044726787154435,0.0120080016719098,0.046939335712325,0.0303293758115461,0.2068444561219127,0.078727563532966,0.0926223832049953,0.3882230613473431,0.0183771987608903,0.0711221122112211,,,0.4469808252764156,0.6199367411488623,0.0259772325867871,0.3901838332307151,0.1437657554854619,0.6991195545532154,0.0921544209215442
11-06-2020,0.0859665060431313,0.1635839602311038,0.0190077880123645,0.1103829261597584,0.0637825637385137,0.1672359432475039,0.058290385640661,0.114100037281516,0.3272587971323811,0.0206473233137062,0.145104510451045,,,0.7009711059923083,0.5309662279359249,0.0167354953765151,0.5155246723546486,0.1565598795553893,0.6910413720168695,0.1382316313823163
13-06-2020,0.0856307765226321,0.1842220077475309,0.0086399036419838,0.0620024704913532,0.0343051366857188,0.1645428271150814,0.055624666785143,0.1006765034836905,0.3313084879330159,0.0209716268212513,0.0766226622662266,,,0.6163076790870108,0.5618814406693194,0.0318816758044609,0.4254551851526079,0.1061177891890593,0.6898691436362014,0.1506849315068493
14-06-2020,0.0953076862311399,0.197654587040734,0.0123008797614685,0.0749382377161679,0.0428814208571485,0.1749868628481345,0.0526627569456785,0.116784744041081,0.3675915284846494,0.0247551677426111,0.1165566556655665,,,0.7004452461978654,0.5445362718089991,0.020842934136636,0.4201190371477996,0.1425056695498739,0.6933348623268731,0.1594022415940224
19-06-2020,0.0796468915396161,0.2640109999074527,0.0062383033076019,0.0521891298380455,0.0280859107468344,0.1351812926957435,0.0501747526805284,0.1127576839017334,0.3892081212718218,0.0,0.0,,,0.7709104586532063,0.520457096214672,0.0375294040996271,0.3500747647110564,0.141941336584856,0.6881362842908652,0.2017434620174346
23-06-2020,0.0427166442846986,0.0633948993217605,0.0057111227463961,0.0352731265440571,0.0202195838743641,0.1315685759327377,0.0331141520052129,0.0872529696858651,0.3270398949269413,0.0090804982112634,0.0254675467546754,,,0.6176223285731179,0.59942862973166,0.0421502727047631,0.2509748731931862,0.165550554052867,0.6965202655352112,0.0535491905354919
24-06-2020,0.0478513310688048,0.0595475759218372,0.0069119229135871,0.0526008783969256,0.0287958680457938,0.1414214398318444,0.0254724246193945,0.1060459170028207,0.2612050566409456,0.0099453075647171,0.0354235423542354,,,0.5245451449567347,0.6725844301601878,0.032395105649476,0.282493329814994,0.1061332503661831,0.6992724539072155,0.049813200498132
25-06-2020,0.060964531163599,0.086465618678689,0.0177191244183059,0.1128534175130386,0.0638677586143888,0.1349842354177614,0.0183638410046798,0.1476588717760795,0.2777868987030044,0.0191339069451623,0.1279427942794279,,,0.5700320171760407,0.6713600652994592,0.0182757849115605,0.6096109303075615,0.1597448820428879,0.6932074461985396,0.0759651307596513
26-06-2020,0.07842246622956,0.124872747464865,0.0119787138629539,0.0834820203129289,0.0463744107680289,0.1491066736731476,0.0225697529767193,0.1073882703826033,0.2505882996771192,0.0193501092835257,0.1214521452145214,,,0.6007948151509468,0.6375880012243648,0.0362458294870893,0.5987040783416894,0.1342030174344044,0.6904297746008692,0.112079701120797
27-06-2020,0.0728533059483371,0.1960416198421407,0.0112465186390569,0.0668405160581938,0.0385080838955586,0.1497635312664214,0.0572833362952431,0.0765141426476048,0.2150166912931647,0.0097291052263537,0.0502200220022002,,,0.6825660131868088,0.5441281501887563,0.0516487248375426,0.7009411557744745,0.1539855935642801,0.6875246868748643,0.1581569115815691
29-06-2020,0.0679161071174658,0.1767653397146899,0.0101921575166453,0.0736686796596211,0.0406663540843952,0.1199421965317919,0.0428884544754457,0.0912800298252128,0.3085426585672851,0.0109182180873525,0.0573707370737073,,,0.6791479245229302,0.5552494643403735,0.0380428339446422,0.5779458762130941,0.1418408389335514,0.6907865397602029,0.1469489414694894
30-06-2020,0.0620704637017142,0.0996866612901093,0.0060625764538666,0.0557233049684326,0.0294774270527948,0.1178402522333158,0.0330549138084236,0.0966494433443429,0.3743774968532808,0.0109182180873525,0.0389988998899889,,,0.5947474275148541,0.6318742985409652,0.0313682459594458,0.3022839886240361,0.1510093169679525,0.6946599900615418,0.0884184308841843
